PosX,PosY,LKHD DIST,lookAheadX,lookAheadY,left,right,ONLAST,INDEX,VEL
-13.4343,0.33125,10,-8.64362,-8.44656,73.4454,62.2615,0,182,14.2112
-13.1302,-0.14894,10,-8.41672,-8.96839,73.5232,62.1837,0,182,14.2112
-12.83,-0.63151,10,-8.19018,-9.48995,71.8544,60.7104,0,183,13.8821
-12.5404,-1.10519,10,-7.98217,-10.0059,71.966,60.5987,0,183,13.8821
-12.2546,-1.58113,10,-7.77435,-10.5213,72.0304,60.5343,0,183,13.8821
-11.9726,-2.05934,10,-7.56944,-11.0378,70.3239,59.0169,0,184,13.5445
-11.7011,-2.52809,10,-7.3805,-11.5465,70.4228,58.918,0,184,13.5445
-11.4334,-2.99899,10,-7.19173,-12.0548,70.4774,58.8634,0,184,13.5445
-11.1695,-3.47203,10,-7.00743,-12.5647,68.7227,57.3057,0,185,13.1977
-10.916,-3.93501,10,-6.83744,-13.0654,68.8124,57.216,0,185,13.1977
-10.6663,-4.40001,10,-6.6676,-13.5657,68.8604,57.168,0,185,13.1977
-10.4204,-4.86702,10,-6.5026,-14.0676,67.0458,55.5742,0,186,12.8407
-10.1848,-5.32333,10,-6.35139,-14.5594,67.1298,55.4902,0,186,12.8407
-9.95291,-5.78152,10,-6.20031,-15.0507,67.1746,55.4454,0,186,12.8407
-9.72475,-6.24158,10,-6.05306,-15.5431,65.2874,53.8191,0,187,12.4728
-9.50676,-6.69024,10,-5.92036,-16.025,65.3692,53.7373,0,187,12.4728
-9.29239,-7.14065,10,-5.78778,-16.5064,65.4139,53.6925,0,187,12.4728
-9.0817,-7.59278,10,-5.65647,-16.9879,63.4402,52.0371,0,188,12.0928
-8.88097,-8.03278,10,-5.54192,-17.4589,63.5229,51.9544,0,188,12.0928
-8.68377,-8.47437,10,-5.42749,-17.9293,63.5707,51.9066,0,188,12.0928
-8.49017,-8.91754,10,-5.31316,-18.3995,61.5177,50.2023,0,189,11.6993
-8.3063,-9.34779,10,-5.21316,-18.8574,61.5801,50.14,0,189,11.6993
-8.12586,-9.77948,10,-5.11643,-19.3159,61.6339,50.0862,0,189,11.6993
-7.94889,-10.2126,10,-5.01979,-19.774,61.6574,50.0627,0,189,11.6993
-7.77542,-10.6471,10,-4.92781,-20.2331,59.5318,48.2879,0,190,11.2909
-7.61136,-11.0678,10,-4.84825,-20.6785,59.5934,48.2263,0,190,11.2909
-7.45062,-11.4898,10,-4.76877,-21.1235,59.6263,48.1934,0,190,11.2909
-7.29324,-11.913,10,-4.68935,-21.5681,57.3867,46.3717,0,191,10.8656
-7.14499,-12.3215,10,-4.62279,-21.9982,57.434,46.3245,0,191,10.8656
-6.9999,-12.7311,10,-4.55981,-22.4288,57.4788,46.2796,0,191,10.8656
-6.85799,-13.1418,10,-4.4969,-22.8591,57.4986,46.2598,0,191,10.8656
-6.71931,-13.5536,10,-4.43403,-23.289,55.1436,44.3705,0,192,10.4211
-6.58934,-13.9496,10,-4.38639,-23.704,55.1989,44.3153,0,192,10.4211
-6.46237,-14.3466,10,-4.33921,-24.1186,55.2331,44.2811,0,192,10.4211
-6.33843,-14.7445,10,-4.29206,-24.5329,52.7725,42.2872,0,193,9.95464
-6.22288,-15.1255,10,-4.24705,-24.9283,52.7659,42.2939,0,193,9.95464
-6.11012,-15.5073,10,-4.21422,-25.3259,52.8134,42.2463,0,193,9.95464
-6.00017,-15.8899,10,-4.18191,-25.7232,52.8433,42.2164,0,193,9.95464
-5.89305,-16.2733,10,-4.14963,-26.1202,50.2415,40.1196,0,194,9.4626
-5.79386,-16.6385,10,-4.11896,-26.4973,50.2355,40.1256,0,194,9.4626
-5.69726,-17.0044,10,-4.09692,-26.8755,50.2626,40.0985,0,194,9.4626
-5.60325,-17.371,10,-4.07845,-27.254,50.2924,40.0687,0,194,9.4626
-5.51185,-17.7382,10,-4.05999,-27.6323,47.5292,37.8451,0,195,8.94038
-5.42791,-18.0858,10,-4.04256,-27.9893,47.5271,37.8472,0,195,8.94038
-5.34631,-18.4339,10,-4.02688,-28.3465,47.5218,37.8525,0,195,8.94038
-5.26707,-18.7825,10,-4.02106,-28.7046,47.5551,37.8191,0,195,8.94038
-5.1902,-19.1317,10,-4.01525,-29.0625,47.5737,37.8006,0,195,8.94038
-5.1157,-19.4814,10,-4.00944,-29.42,44.6063,35.4349,0,196,8.3819
-5.04802,-19.8097,10,-4.00399,-29.7551,44.5995,35.4417,0,196,8.3819
-4.98245,-20.1385,10,-4.00149,-30.0902,44.597,35.4442,0,196,8.3819
-4.91898,-20.4676,10,-4.00697,-30.4259,44.6227,35.4186,0,196,8.3819
-4.85762,-20.7972,10,-4.01244,-30.7614,44.6363,35.4049,0,196,8.3819
-4.79838,-21.1271,10,-4.01791,-31.0966,41.427,32.8555,0,197,7.77885
-4.7453,-21.4336,10,-4.02298,-31.4075,41.4203,32.8622,0,197,7.77885
-4.69406,-21.7405,10,-4.02805,-31.7183,41.4057,32.8768,0,197,7.77885
-4.64465,-22.0476,10,-3.98822,-32.0261,41.1841,33.0984,0,197,7.77885
-4.59703,-22.3551,10,-3.98518,-32.3363,41.1319,33.1506,0,197,7.77885
-4.55112,-22.6628,10,-3.98046,-32.6465,37.5858,30.3986,0,198,7.11931
-4.5106,-22.9446,10,-3.97567,-32.9302,37.5273,30.457,0,198,7.11931
-4.47148,-23.2266,10,-3.97089,-33.2141,37.4665,30.5179,0,198,7.11931
-4.43375,-23.5088,10,-3.9661,-33.4978,37.4034,30.5809,0,198,7.11931
-4.39737,-23.7912,10,-3.9597,-33.7816,37.3318,30.6525,0,198,7.11931
